NodeId;EmissionTypeId;VariableId;Value;Percentage;Year;Period
A5;REMAIN;N;0.23269476;0;2010;3
A5;SEEP;Q;0.00004432;0;2010;4
A5;SEEP;Q;0.00004444;0;2010;3
A5;SEWERS;BOD;0.04902037;0;2010;4
A5;SEWERS;BOD;0.04902037;0;2010;3
A5;SEWERS;N;0.00363113;0;2010;4
A5;SEWERS;N;0.00363113;0;2010;3
A5;SEWERS;P;0.00051297;0;2010;4
A5;SEWERS;P;0.00051297;0;2010;3
A5;STONE;N;1.51887564;0;2010;4
A5;STONE;N;1.51887564;0;2010;3
A5;STONE;P;0.17966874;0;2010;4
A5;STONE;P;0.17966874;0;2010;3
A6;AGRIC;N;0.05582445;0;2010;4
A6;AGRIC;N;0.05582445;0;2010;3
A6;AGRIC;P;0.00451241;0;2010;4
A6;AGRIC;P;0.00451241;0;2010;3
A6;ATM;Q;0.02066064;0;2010;3
A6;ATM;Q;0.02283923;0;2010;4
A6;CONSTR;N;0.00340885;0;2010;4
A6;CONSTR;N;0.00340885;0;2010;3
A6;CONSTR;P;0.00049393;0;2010;4
A6;CONSTR;P;0.00049393;0;2010;3
A6;DRAIN;Q;0.06781805;0;2010;3
A6;DRAIN;Q;0.32212651;0;2010;4
A6;EVAP;Q;-0.03025474;0;2010;3
A6;EVAP;Q;-0.00746377;0;2010;4
A6;INFIL;Q;-0.10569837;0;2010;3
A6;INFIL;Q;-0.00573864;0;2010;4
A6;REMAIN;N;0.0169635;0;2010;4
A6;REMAIN;N;0.0169635;0;2010;3
A6;SEEP;Q;0.00254166;0;2010;4
A6;SEEP;Q;0.006228;0;2010;3
A6;SEWERS;BOD;0.08712166;0;2010;4
A6;SEWERS;BOD;0.08712166;0;2010;3
A6;SEWERS;N;0.00645345;0;2010;4
A6;SEWERS;N;0.00645345;0;2010;3
A6;SEWERS;P;0.00107506;0;2010;4
A6;SEWERS;P;0.00107506;0;2010;3
A6;STONE;N;1.82150192;0;2010;4
A6;STONE;N;1.82150192;0;2010;3
A6;STONE;P;0.14771046;0;2010;4
A6;STONE;P;0.14771046;0;2010;3
A7;AGRIC;N;0.07975787;0;2010;4
A7;AGRIC;N;0.07975787;0;2010;3
A7;AGRIC;P;0.00628034;0;2010;4
A7;AGRIC;P;0.00628034;0;2010;3
A7;ATM;Q;0.0418574;0;2010;3
A7;ATM;Q;0.04627083;0;2010;4
A7;CONSTR;N;0.00595626;0;2010;4
A7;CONSTR;N;0.00595626;0;2010;3
A7;CONSTR;P;0.00086935;0;2010;4
A7;CONSTR;P;0.00086935;0;2010;3
A7;DRAIN;Q;0.05572453;0;2010;3
A7;DRAIN;Q;0.40543818;0;2010;4
A7;DRAIN0;Q;0.00008692;0;2010;3
A7;EVAP;Q;-0.06129409;0;2010;3
A7;EVAP;Q;-0.01512083;0;2010;4
A7;INFIL;Q;-0.16966759;0;2010;3
A7;INFIL;Q;-0.01134074;0;2010;4
A7;REMAIN;N;0.03648187;0;2010;4
A7;REMAIN;N;0.03648187;0;2010;3
A7;SEEP;Q;0.0012206;0;2010;4
A7;SEEP;Q;0.00126238;0;2010;3
A7;SEWERS;BOD;0.0682377;0;2010;4
A7;SEWERS;BOD;0.0682377;0;2010;3
A7;SEWERS;N;0.00505464;0;2010;4
A7;SEWERS;N;0.00505464;0;2010;3
A7;SEWERS;P;0.00081101;0;2010;4
A7;SEWERS;P;0.00081101;0;2010;3
A7;STONE;N;2.60680984;0;2010;4
A7;STONE;N;2.60680984;0;2010;3
A7;STONE;P;0.21253837;0;2010;4
A7;STONE;P;0.21253837;0;2010;3
A8;AGRIC;N;0.37270749;0;2010;4
A8;AGRIC;N;0.37270749;0;2010;3
A8;AGRIC;P;0.02205689;0;2010;4
A8;AGRIC;P;0.02205689;0;2010;3
A8;ATM;Q;0.04274201;0;2010;3
A8;ATM;Q;0.04724849;0;2010;4
A8;CONSTR;N;0.01411892;0;2010;4
A8;CONSTR;N;0.01411892;0;2010;3
A8;CONSTR;P;0.00204965;0;2010;4
A8;CONSTR;P;0.00204965;0;2010;3
A8;DRAIN;Q;0.13369652;0;2010;3
A8;DRAIN;Q;0.48475613;0;2010;4
A8;DRAIN0;Q;0.00013969;0;2010;3
A8;EVAP;Q;-0.06258958;0;2010;3
A8;EVAP;Q;-0.01544039;0;2010;4
A8;INFIL;Q;-0.11065335;0;2010;3
A8;INFIL;Q;-0.02379583;0;2010;4
A8;REMAIN;N;0.04307276;0;2010;4
A8;REMAIN;N;0.04307276;0;2010;3
A8;SEEP;Q;0.01344803;0;2010;4
A8;SEEP;Q;0.01607905;0;2010;3
A8;SEWERS;BOD;0.26971605;0;2010;4
A8;SEWERS;BOD;0.26971605;0;2010;3
A8;SEWERS;N;0.01997897;0;2010;4
A8;SEWERS;N;0.01997897;0;2010;3
A8;SEWERS;P;0.00100364;0;2010;4
A8;SEWERS;P;0.00100364;0;2010;3
A8;STONE;N;2.49417981;0;2010;4
A8;STONE;N;2.49417981;0;2010;3
A8;STONE;P;0.31204464;0;2010;4
A8;STONE;P;0.31204464;0;2010;3
A9;AGRIC;N;0.18115949;0;2010;4
A9;AGRIC;N;0.18115949;0;2010;3
A9;AGRIC;P;0.01194898;0;2010;4
A9;AGRIC;P;0.01194898;0;2010;3
A9;ATM;Q;0.05456909;0;2010;3
A9;ATM;Q;0.0603228;0;2010;4
A9;CONSTR;N;0.02141507;0;2010;4
A9;CONSTR;N;0.02141507;0;2010;3
A9;CONSTR;P;0.00315783;0;2010;4
A9;CONSTR;P;0.00315783;0;2010;3
A9;DRAIN;Q;0.22580498;0;2010;3
A9;DRAIN;Q;0.72661318;0;2010;4
A9;DRAIN0;Q;0.00002685;0;2010;4
A9;DRAIN0;Q;0.00043784;0;2010;3
A9;EVAP;Q;-0.07990844;0;2010;3
A9;EVAP;Q;-0.01971307;0;2010;4
A9;INFIL;Q;-0.07034236;0;2010;3
A9;INFIL;Q;-0.01034085;0;2010;4
A9;REMAIN;N;0.07840627;0;2010;4
A9;REMAIN;N;0.07840627;0;2010;3
A9;SEEP;Q;0.03384641;0;2010;4
A9;SEEP;Q;0.03651435;0;2010;3
A9;SEWERS;BOD;2.06620481;0;2010;4
A9;SEWERS;BOD;2.06620481;0;2010;3
A9;SEWERS;N;0.15305218;0;2010;4
A9;SEWERS;N;0.15305218;0;2010;3
A9;SEWERS;P;0.00249019;0;2010;4
A9;SEWERS;P;0.00249019;0;2010;3
A9;STONE;N;2.54764712;0;2010;4
A9;STONE;N;2.54764712;0;2010;3
A9;STONE;P;0.33347606;0;2010;4
A9;STONE;P;0.33347606;0;2010;3
