gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000062468,1991-11-14,GMW000000057307,B49D0114,5,-41.5,-42.5,1.25,43.75,,,,,,,,1782
GAR000000062503,1992-09-01,GMW000000057307,B49D0114,5,-41.5,-42.5,1.25,43.75,,,,,,,,1910
GAR000000062913,1977-10-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11878
GAR000000062932,1978-11-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11395
GAR000000062984,1983-01-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,12058
GAR000000063037,1974-06-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11604
GAR000000063074,1975-09-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11138
GAR000000063075,1976-10-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11134
GAR000000063105,1984-01-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,12595
GAR000000063248,1993-06-24,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11869
GAR000000063297,1973-03-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11794
GAR000000063361,1979-06-14,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11534
GAR000000063442,1994-05-16,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11272
GAR000000063474,1982-10-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11730
GAR000000063487,1972-07-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11835
GAR000000063563,1980-10-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11918
GAR000000063595,1979-10-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11534
GAR000000063677,1992-07-14,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,13490
GAR000000063703,1981-10-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11918
GAR000000063791,1987-01-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,10929
GAR000000063820,1986-01-01,GMW000000050764,B48E0135,6,-41.1,-42.1,1.31,43.41,,,,,,,,11685
GAR000000053753,1988-10-13,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,16230
GAR000000053766,1990-02-27,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,875
GAR000000053770,1983-02-15,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,16940
GAR000000053808,1989-04-25,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,16865
GAR000000053898,1991-05-22,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,17867
GAR000000054045,2006-03-09,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,12661
GAR000000054065,1994-05-24,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,16762
GAR000000054081,1985-06-05,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,14979
GAR000000054148,1984-02-25,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,11670
GAR000000054285,1988-05-11,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,15840
GAR000000054305,1986-04-10,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,16966
GAR000000054324,1987-06-01,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,16985
GAR000000054341,1986-09-11,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,16369
GAR000000054385,1996-07-23,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,16951
GAR000000054450,2010-09-29,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,18000
GAR000000054480,1987-10-29,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,16095
GAR000000054542,1983-08-25,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,14070
GAR000000054600,1990-09-03,GMW000000057313,B48B0142,2,-41.05,-42.05,1.49,43.54,,,,,,,,17595
GAR000000004106,1996-11-28,GMW000000011572,B26E0112,3,-41.0,-42.0,-3.0,39.0,0.33,,0.42,,0.003,LT,1.2,10
GAR000000004107,2003-01-21,GMW000000011572,B26E0112,3,-41.0,-42.0,-3.0,39.0,0.11,LT,0.38,,0.006,LT,1,10
GAR000000004108,2006-06-06,GMW000000011572,B26E0112,3,-41.0,-42.0,-3.0,39.0,0.02,,0.21,,0.003,LT,,10
GAR000000004109,2018-12-07,GMW000000011572,B26E0112,3,-41.0,-42.0,-3.0,39.0,0.05,LT,0.44,,0.01,LT,5.7,6.3
GAR000000055684,1959-08-03,GMW000000039006,B48E0063,3,-41.0,-42.0,2.5,44.5,,,,,,,,8160
GAR000000055689,1974-06-01,GMW000000039006,B48E0063,3,-41.0,-42.0,2.5,44.5,,,,,,,,8737
GAR000000055740,1992-09-08,GMW000000039006,B48E0063,3,-41.0,-42.0,2.5,44.5,,,,,,,,10164
GAR000000055910,1993-06-24,GMW000000039006,B48E0063,3,-41.0,-42.0,2.5,44.5,,,,,,,,8738
GAR000000056080,1996-06-17,GMW000000039006,B48E0063,3,-41.0,-42.0,2.5,44.5,,,,,,,,9285
GAR000000056310,1973-03-01,GMW000000039006,B48E0063,3,-41.0,-42.0,2.5,44.5,,,,,,,,8463
GAR000000056544,1994-05-16,GMW000000039006,B48E0063,3,-41.0,-42.0,2.5,44.5,,,,,,,,8624
GAR000000056612,1972-07-01,GMW000000039006,B48E0063,3,-41.0,-42.0,2.5,44.5,,,,,,,,8470
GAR000000059290,1992-09-07,GMW000000057206,B48H0124,5,-41.0,-42.0,0.63,42.63,,,,,,,,17466
GAR000000065389,2024-09-25,GMW000000011572,B26E0112,3,-41.0,-42.0,-3.0,39.0,0.05,LT,0.38,,0.01,LT,152.37,6.44
GAR000000053665,1989-04-25,GMW000000057220,B48A0141,2,-40.94,-41.94,-0.64,41.3,,,,,,,,12355
GAR000000054144,2010-09-29,GMW000000057220,B48A0141,2,-40.94,-41.94,-0.64,41.3,,,,,,,,13000
GAR000000054167,1994-05-24,GMW000000057220,B48A0141,2,-40.94,-41.94,-0.64,41.3,,,,,,,,11849
GAR000000054180,1990-09-03,GMW000000057220,B48A0141,2,-40.94,-41.94,-0.64,41.3,,,,,,,,12760
GAR000000054212,1991-05-07,GMW000000057220,B48A0141,2,-40.94,-41.94,-0.64,41.3,,,,,,,,13488
GAR000000054279,1990-03-06,GMW000000057220,B48A0141,2,-40.94,-41.94,-0.64,41.3,,,,,,,,12320
GAR000000054301,2006-03-08,GMW000000057220,B48A0141,2,-40.94,-41.94,-0.64,41.3,,,,,,,,12661
GAR000000054536,1989-11-20,GMW000000057220,B48A0141,2,-40.94,-41.94,-0.64,41.3,,,,,,,,12225
GAR000000054561,1988-12-05,GMW000000057220,B48A0141,2,-40.94,-41.94,-0.64,41.3,,,,,,,,11910
GAR000000054585,1996-08-05,GMW000000057220,B48A0141,2,-40.94,-41.94,-0.64,41.3,,,,,,,,12060
GAR000000050397,2013-10-31,GMW000000083505,B06C0054,3,-40.85,-41.85,0.68,42.53,0.05,LT,0.35,,,,,40.9
GAR000000050612,2021-11-15,GMW000000083505,B06C0054,3,-40.85,-41.85,0.68,42.53,0.05,LT,0.4,,0.01,LT,17.86,41.64
GAR000000064697,2024-11-12,GMW000000083505,B06C0054,3,-40.85,-41.85,0.68,42.53,,,,,,,,
GAR000000061999,1992-10-05,GMW000000057353,B49D0117,5,-40.8,-41.8,1.35,43.15,,,,,,,,6766
GAR000000062528,1993-07-09,GMW000000057353,B49D0117,5,-40.8,-41.8,1.35,43.15,,,,,,,,6130
GAR000000062565,1994-05-26,GMW000000057353,B49D0117,5,-40.8,-41.8,1.35,43.15,,,,,,,,6100
GAR000000062573,1991-11-14,GMW000000057353,B49D0117,5,-40.8,-41.8,1.35,43.15,,,,,,,,6368
GAR000000062883,1977-10-01,GMW000000044208,B48E0232,3,-40.8,-41.8,-0.15,41.65,,,,,,,,16900
GAR000000062909,1975-09-01,GMW000000044208,B48E0232,3,-40.8,-41.8,-0.15,41.65,,,,,,,,16859
GAR000000063084,1979-06-14,GMW000000044208,B48E0232,3,-40.8,-41.8,-0.15,41.65,,,,,,,,17490
GAR000000063171,1974-06-01,GMW000000044208,B48E0232,3,-40.8,-41.8,-0.15,41.65,,,,,,,,17578
GAR000000063189,1983-01-01,GMW000000044208,B48E0232,3,-40.8,-41.8,-0.15,41.65,,,,,,,,17520
GAR000000063415,1981-10-01,GMW000000044208,B48E0232,3,-40.8,-41.8,-0.15,41.65,,,,,,,,17660
GAR000000063526,1972-07-01,GMW000000044208,B48E0232,3,-40.8,-41.8,-0.15,41.65,,,,,,,,17606
GAR000000063556,1973-03-01,GMW000000044208,B48E0232,3,-40.8,-41.8,-0.15,41.65,,,,,,,,17571
GAR000000059716,2006-03-07,GMW000000057265,B42G0041,5,-40.7,-41.7,1.22,42.92,,,,,,,,15292
GAR000000059761,1997-06-01,GMW000000057265,B42G0041,5,-40.7,-41.7,1.22,42.92,,,,,,,,15822
GAR000000059845,1991-05-13,GMW000000057265,B42G0041,5,-40.7,-41.7,1.22,42.92,,,,,,,,14724
GAR000000059852,1995-08-14,GMW000000057265,B42G0041,5,-40.7,-41.7,1.22,42.92,,,,,,,,13873
GAR000000060009,2010-09-28,GMW000000057265,B42G0041,5,-40.7,-41.7,1.22,42.92,,,,,,,,14000
GAR000000060466,1993-06-22,GMW000000057265,B42G0041,5,-40.7,-41.7,1.22,42.92,,,,,,,,15281
GAR000000060506,1990-09-27,GMW000000057265,B42G0041,5,-40.7,-41.7,1.22,42.92,,,,,,,,14155
GAR000000060536,1993-01-01,GMW000000057265,B42G0041,5,-40.7,-41.7,1.22,42.92,,,,,,,,13776
GAR000000060841,1992-01-07,GMW000000050785,B42D0282,5,-40.7,-41.7,,,,,,,,,,110
GAR000000060844,1997-06-06,GMW000000050785,B42D0282,5,-40.7,-41.7,,,,,,,,,,35
GAR000000061356,1993-01-01,GMW000000050785,B42D0282,5,-40.7,-41.7,,,,,,,,,,110
GAR000000061410,1993-06-19,GMW000000050785,B42D0282,5,-40.7,-41.7,,,,,,,,,,35
GAR000000061443,1990-10-09,GMW000000050785,B42D0282,5,-40.7,-41.7,,,,,,,,,,115
GAR000000061499,1995-08-18,GMW000000050785,B42D0282,5,-40.7,-41.7,,,,,,,,,,43
GAR000000059939,2010-09-28,GMW000000057339,B42G0050,6,-40.6,-41.6,-0.15,41.45,,,,,,,,9700
GAR000000060080,1991-05-13,GMW000000057339,B42G0050,6,-40.6,-41.6,-0.15,41.45,,,,,,,,13155
GAR000000060083,2006-03-07,GMW000000057339,B42G0050,6,-40.6,-41.6,-0.15,41.45,,,,,,,,13008
GAR000000060161,1990-09-28,GMW000000057339,B42G0050,6,-40.6,-41.6,-0.15,41.45,,,,,,,,12530
GAR000000051740,1991-11-14,GMW000000050688,B49D0126,4,-40.5,-41.5,,,,,,,,,,14023
GAR000000051795,1996-06-04,GMW000000050688,B49D0126,4,-40.5,-41.5,,,,,,,,,,12490
GAR000000051808,1998-08-05,GMW000000050688,B49D0126,4,-40.5,-41.5,,,,,,,,,,12068
GAR000000051845,1994-05-26,GMW000000050688,B49D0126,4,-40.5,-41.5,,,,,,,,,,12312
GAR000000052027,1993-07-09,GMW000000050688,B49D0126,4,-40.5,-41.5,,,,,,,,,,11982
GAR000000052571,1992-10-06,GMW000000050688,B49D0126,4,-40.5,-41.5,,,,,,,,,,14225
GAR000000004261,1967-11-07,GMW000000037682,B26B0034,2,-40.49,-41.49,-3.77,37.72,,,3.34,,0.006,LT,,1154
GAR000000004262,1997-10-02,GMW000000037682,B26B0034,2,-40.49,-41.49,-3.77,37.72,0.11,LT,2.8,,0.006,LT,2.2,1200
GAR000000062886,1990-04-23,GMW000000057246,B48E0196,6,-40.31,-41.31,0.87,42.18,,,,,,,,16270
GAR000000062939,1991-09-18,GMW000000057246,B48E0196,6,-40.31,-41.31,0.87,42.18,,,,,,,,18212
GAR000000062969,1993-01-01,GMW000000057246,B48E0196,6,-40.31,-41.31,0.87,42.18,,,,,,,,19503
GAR000000063006,1997-05-23,GMW000000057246,B48E0196,6,-40.31,-41.31,0.87,42.18,,,,,,,,12935
GAR000000063608,1998-06-09,GMW000000057246,B48E0196,6,-40.31,-41.31,0.87,42.18,,,,,,,,16891
GAR000000063622,2011-07-20,GMW000000057246,B48E0196,6,-40.31,-41.31,0.87,42.18,,,,,,,,7500
GAR000000063686,1990-04-23,GMW000000057246,B48E0196,6,-40.31,-41.31,0.87,42.18,,,,,,,,
GAR000000063702,1994-05-16,GMW000000057246,B48E0196,6,-40.31,-41.31,0.87,42.18,,,,,,,,17803
GAR000000063759,2006-12-19,GMW000000057246,B48E0196,6,-40.31,-41.31,0.87,42.18,,,,,,,,18603
GAR000000059985,1992-01-08,GMW000000050668,B42H0123,3,-40.3,-41.3,0.15,41.45,,,,,,,,18780
GAR000000060299,1993-01-01,GMW000000050668,B42H0123,3,-40.3,-41.3,0.15,41.45,,,,,,,,15372
GAR000000060352,1993-06-11,GMW000000050668,B42H0123,3,-40.3,-41.3,0.15,41.45,,,,,,,,15117
GAR000000060358,1990-08-21,GMW000000050668,B42H0123,3,-40.3,-41.3,0.15,41.45,,,,,,,,16955
GAR000000004438,1984-11-08,GMW000000037686,B26D0045,3,-40.24,-41.24,-3.33,37.91,0.02,LT,140.81,,0.006,LT,,2560
GAR000000004427,1998-11-27,GMW000000037677,B26D0033,3,-40.23,-41.23,3.2,44.43,0.11,LT,1.32,,0.006,LT,2,9
GAR000000004428,2006-06-13,GMW000000037677,B26D0033,3,-40.23,-41.23,3.2,44.43,0.01,LT,0.93,,0.003,LT,,10
GAR000000004429,2019-01-28,GMW000000037677,B26D0033,3,-40.23,-41.23,3.2,44.43,0.05,LT,1.3,,0.01,LT,5,8.2
GAR000000065373,2024-10-22,GMW000000037677,B26D0033,3,-40.23,-41.23,3.2,44.43,0.12,,1.25,,0.01,LT,182.32,8.08
GAR000000052859,1974-06-01,GMW000000046059,B48F0069,2,-40.2,-41.2,0.55,41.75,,,,,,,,16425
GAR000000053090,1972-07-01,GMW000000046059,B48F0069,2,-40.2,-41.2,0.55,41.75,,,,,,,,16429
GAR000000053224,1959-07-14,GMW000000046059,B48F0069,2,-40.2,-41.2,0.55,41.75,,,,,,,,16700
GAR000000053464,1973-03-01,GMW000000046059,B48F0069,2,-40.2,-41.2,0.55,41.75,,,,,,,,16487
GAR000000052134,1979-11-09,GMW000000017906,B49G0166,2,-39.17,-41.17,10.79,51.96,,,,,,,,28
GAR000000052457,1979-11-09,GMW000000017906,B49G0166,2,-39.17,-41.17,10.79,51.96,2,,,,,,,
GAR000000051472,2022-03-15,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,0.3,,4.11,,0.01,LT,10.16,994.85
GAR000000062081,1994-05-20,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,940
GAR000000062180,2017-11-10,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,0.05,LT,4.1,,0.01,,16,710
GAR000000062329,1987-01-14,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,910
GAR000000062362,1992-10-06,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,1022
GAR000000062451,1991-11-14,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,1210
GAR000000062552,1989-11-21,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,1150
GAR000000062712,1988-06-08,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,1270
GAR000000062728,1990-09-10,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,1130
GAR000000062734,1988-10-31,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,740
GAR000000062749,1989-04-28,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,1140
GAR000000062808,1988-01-12,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,890
GAR000000062830,1967-04-03,GMW000000057179,B49D0060,4,-40.1,-41.1,1.76,42.86,,,,,,,,982
GAR000000053956,1993-06-23,GMW000000057352,B48B0115,5,-40.0,-41.0,1.2,42.2,,,,,,,,17788
GAR000000054367,1993-01-01,GMW000000057352,B48B0115,5,-40.0,-41.0,1.2,42.2,,,,,,,,20725
GAR000000054541,1990-09-27,GMW000000057352,B48B0115,5,-40.0,-41.0,1.2,42.2,,,,,,,,18135
GAR000000059721,1993-06-09,GMW000000050804,B42H0128,3,-40.0,-41.0,-0.85,40.15,,,,,,,,12393
GAR000000059900,1993-01-01,GMW000000050804,B42H0128,3,-40.0,-41.0,-0.85,40.15,,,,,,,,12570
GAR000000060449,1990-08-21,GMW000000050804,B42H0128,3,-40.0,-41.0,-0.85,40.15,,,,,,,,13875
GAR000000060569,1992-01-08,GMW000000050804,B42H0128,3,-40.0,-41.0,-0.85,40.15,,,,,,,,14069
GAR000000060784,2008-12-01,GMW000000004913,B42B0144,2,-40.0,-41.0,4.5,45.5,,,,,,,,31
GAR000000065561,2024-07-01,GMW000000063097,B12A0131,3,-39.97,-40.97,3.56,44.53,0.16,,0.24,,0.01,LT,12.17,34.91
GAR000000005066,1976-12-17,GMW000000037606,B20H0004,3,-39.92,-40.92,1.45,42.37,0.11,,10.11,,0.1,,,194
GAR000000005067,1985-09-19,GMW000000037606,B20H0004,3,-39.92,-40.92,1.45,42.37,0.09,,5.13,,0.006,LT,,270
GAR000000058655,2006-12-22,GMW000000057276,B48G0100,6,-39.92,-40.92,2.77,43.69,,,,,,,,18727
GAR000000058739,1993-01-01,GMW000000057276,B48G0100,6,-39.92,-40.92,2.77,43.69,,,,,,,,20180
GAR000000058796,1993-07-09,GMW000000057276,B48G0100,6,-39.92,-40.92,2.77,43.69,,,,,,,,17448
GAR000000058829,1991-09-18,GMW000000057276,B48G0100,6,-39.92,-40.92,2.77,43.69,,,,,,,,19433
GAR000000058830,1990-04-24,GMW000000057276,B48G0100,6,-39.92,-40.92,2.77,43.69,,,,,,,,16640
GAR000000059006,1994-05-18,GMW000000057276,B48G0100,6,-39.92,-40.92,2.77,43.69,,,,,,,,15145
GAR000000059091,1990-04-24,GMW000000057276,B48G0100,6,-39.92,-40.92,2.77,43.69,,,,,,,,
GAR000000059322,1997-05-28,GMW000000057276,B48G0100,6,-39.92,-40.92,2.77,43.69,,,,,,,,12077
GAR000000059505,2011-07-20,GMW000000057276,B48G0100,6,-39.92,-40.92,2.77,43.69,,,,,,,,9300
GAR000000061596,2008-12-01,GMW000000057327,B42E0261,3,-39.5,-40.5,-1.38,39.12,,,,,,,,16000
GAR000000063019,1972-07-01,GMW000000046199,B48E0227,3,-39.4,-40.4,0.3,40.7,,,,,,,,15635
GAR000000063055,1975-09-01,GMW000000046199,B48E0227,3,-39.4,-40.4,0.3,40.7,,,,,,,,14823
GAR000000063145,1973-03-01,GMW000000046199,B48E0227,3,-39.4,-40.4,0.3,40.7,,,,,,,,15581
GAR000000063432,1981-10-01,GMW000000046199,B48E0227,3,-39.4,-40.4,0.3,40.7,,,,,,,,15710
GAR000000063537,1983-01-01,GMW000000046199,B48E0227,3,-39.4,-40.4,0.3,40.7,,,,,,,,15850
GAR000000063554,1974-06-01,GMW000000046199,B48E0227,3,-39.4,-40.4,0.3,40.7,,,,,,,,15669
GAR000000063733,1977-10-01,GMW000000046199,B48E0227,3,-39.4,-40.4,0.3,40.7,,,,,,,,15240
GAR000000061003,1958-06-23,GMW000000045192,B42E0029,3,-39.3,-40.3,-1.55,38.75,,,,,,,,
GAR000000063156,1996-06-17,GMW000000050879,B48E0210,4,-39.2,-40.2,,,,,,,,,,18768
GAR000000063453,1993-06-24,GMW000000050879,B48E0210,4,-39.2,-40.2,,,,,,,,,,3705
GAR000000063599,1994-05-18,GMW000000050879,B48E0210,4,-39.2,-40.2,,,,,,,,,,17976
GAR000000063601,1992-05-21,GMW000000050879,B48E0210,4,-39.2,-40.2,,,,,,,,,,13128
GAR000000060668,1997-05-30,GMW000000057198,B42F0032,5,-39.1,-40.1,0.25,40.35,,,,,,,,9408
GAR000000060787,1995-08-07,GMW000000057198,B42F0032,5,-39.1,-40.1,0.25,40.35,,,,,,,,11098
GAR000000060928,1990-09-03,GMW000000057198,B42F0032,5,-39.1,-40.1,0.25,40.35,,,,,,,,8625
GAR000000061144,1993-01-01,GMW000000057198,B42F0032,5,-39.1,-40.1,0.25,40.35,,,,,,,,9941
GAR000000061214,1992-01-08,GMW000000057198,B42F0032,5,-39.1,-40.1,0.25,40.35,,,,,,,,10480
GAR000000061329,1993-06-16,GMW000000057198,B42F0032,5,-39.1,-40.1,0.25,40.35,,,,,,,,7673
GAR000000004296,1981-11-05,GMW000000037658,B26B0063,2,-39.04,-40.04,-3.82,36.22,0.11,,0.03,LT,0.006,LT,,445
GAR000000004297,1991-08-06,GMW000000037658,B26B0063,2,-39.04,-40.04,-3.82,36.22,0.0045,LT,1.86,,0.006,LT,2,802
GAR000000004298,2006-06-08,GMW000000037658,B26B0063,2,-39.04,-40.04,-3.82,36.22,0.01,LT,1.47,,0.003,LT,,1100
GAR000000004611,1990-11-15,GMW000000037696,B26E0019,2,-38.87,-39.87,-3.08,36.79,0.0045,LT,2.41,,0.006,LT,0.9,1100
GAR000000004612,1997-10-01,GMW000000037696,B26E0019,2,-38.87,-39.87,-3.08,36.79,0.11,LT,3.42,,0.006,LT,1.4,1200
GAR000000004613,2003-01-20,GMW000000037696,B26E0019,2,-38.87,-39.87,-3.08,36.79,0.11,LT,3.26,,0.006,LT,1,1200
GAR000000004393,1996-11-28,GMW000000011627,B26C0404,2,-38.75,-39.75,-3.47,36.28,0.29,,0.31,,0.003,LT,2,31
GAR000000058898,1996-06-18,GMW000000050721,B48H0269,5,-38.68,-39.68,0.94,40.62,,,,,,,,6196
GAR000000058944,1993-01-01,GMW000000050721,B48H0269,5,-38.68,-39.68,0.94,40.62,,,,,,,,14043
GAR000000058945,1990-05-02,GMW000000050721,B48H0269,5,-38.68,-39.68,0.94,40.62,,,,,,,,9395
GAR000000059297,1991-09-18,GMW000000050721,B48H0269,5,-38.68,-39.68,0.94,40.62,,,,,,,,11019
GAR000000059379,1993-07-09,GMW000000050721,B48H0269,5,-38.68,-39.68,0.94,40.62,,,,,,,,9331
GAR000000059388,1994-05-10,GMW000000050721,B48H0269,5,-38.68,-39.68,0.94,40.62,,,,,,,,7098
GAR000000059393,1990-05-02,GMW000000050721,B48H0269,5,-38.68,-39.68,0.94,40.62,,,,,,,,
GAR000000059406,1998-07-24,GMW000000050721,B48H0269,5,-38.68,-39.68,0.94,40.62,,,,,,,,9342
GAR000000053124,1988-10-27,GMW000000045687,B48G0059,4,-38.6,-39.6,0.45,40.05,,,1.51,,,,,16415
GAR000000053170,1990-06-20,GMW000000045687,B48G0059,4,-38.6,-39.6,0.45,40.05,0.88,,12.07,,,,,16440
GAR000000062486,1967-04-05,GMW000000045003,B49D0059,5,-38.6,-39.6,1.25,40.85,,,,,,,,9257
GAR000000062658,1967-04-03,GMW000000042137,B49D0050,4,-38.6,-39.6,1.15,40.75,,,,,,,,25
GAR000000004054,1984-10-31,GMW000000037734,B26E0034,2,-38.51,-39.51,-3.44,36.07,0.02,LT,0.54,,0.006,LT,,64
GAR000000004055,1991-08-05,GMW000000037734,B26E0034,2,-38.51,-39.51,-3.44,36.07,0.0045,LT,0.23,,0.006,LT,1.9,13
GAR000000004056,1998-11-09,GMW000000037734,B26E0034,2,-38.51,-39.51,-3.44,36.07,0.11,LT,0.34,,0.006,LT,1.3,13
GAR000000052720,1973-03-01,GMW000000057207,B48F0080,4,-38.5,-39.5,2.81,42.31,,,,,,,,16080
GAR000000052737,1976-10-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,17340
GAR000000052738,1979-10-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,17042
GAR000000052756,1974-06-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,17503
GAR000000052787,1977-10-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,17402
GAR000000052797,1978-11-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,17199
GAR000000052942,1979-10-01,GMW000000057207,B48F0080,4,-38.5,-39.5,2.81,42.31,,,,,,,,16230
GAR000000053016,1982-10-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,17514
GAR000000053024,1972-07-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,17528
GAR000000053082,1972-07-01,GMW000000057207,B48F0080,4,-38.5,-39.5,2.81,42.31,,,,,,,,16063
GAR000000053225,1980-10-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,17885
GAR000000053244,1975-09-01,GMW000000057207,B48F0080,4,-38.5,-39.5,2.81,42.31,,,,,,,,16210
GAR000000053262,1975-09-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,16880
GAR000000053307,1981-10-01,GMW000000057207,B48F0080,4,-38.5,-39.5,2.81,42.31,,,,,,,,16230
GAR000000053375,1984-01-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,17410
GAR000000053523,1973-03-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,11165
GAR000000053535,1983-01-01,GMW000000045886,B48F0084,4,-38.5,-39.5,,,,,,,,,,17154
GAR000000053564,1974-06-01,GMW000000057207,B48F0080,4,-38.5,-39.5,2.81,42.31,,,,,,,,16210
GAR000000053591,1983-01-01,GMW000000057207,B48F0080,4,-38.5,-39.5,2.81,42.31,,,,,,,,16190
GAR000000053615,1977-10-01,GMW000000057207,B48F0080,4,-38.5,-39.5,2.81,42.31,,,,,,,,15540
GAR000000062881,1998-06-04,GMW000000050918,B48E0211,3,-38.5,-39.5,,,,,,,,,,15702
GAR000000062897,1981-10-01,GMW000000056144,B48E0155,3,-38.5,-39.5,1.05,40.55,,,,,,,,10728
GAR000000062944,1980-10-01,GMW000000056144,B48E0155,3,-38.5,-39.5,1.05,40.55,,,,,,,,10728
GAR000000062949,1982-10-01,GMW000000056144,B48E0155,3,-38.5,-39.5,1.05,40.55,,,,,,,,10862
GAR000000062980,1992-05-21,GMW000000050918,B48E0211,3,-38.5,-39.5,,,,,,,,,,21257
GAR000000063070,1996-06-17,GMW000000050918,B48E0211,3,-38.5,-39.5,,,,,,,,,,17320
GAR000000063107,1995-04-27,GMW000000056144,B48E0155,3,-38.5,-39.5,1.05,40.55,,,,,,,,11625
GAR000000063112,1986-01-01,GMW000000056144,B48E0155,3,-38.5,-39.5,1.05,40.55,,,,,,,,10738
GAR000000063141,1993-06-24,GMW000000050918,B48E0211,3,-38.5,-39.5,,,,,,,,,,16130
