gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000004126,1997-10-03,GMW000000037630,B26F0001,2,-145.08,-146.08,-3.02,143.06,0.11,LT,0.1,,0.006,LT,0.5,19
GAR000000004127,2003-01-21,GMW000000037630,B26F0001,2,-145.08,-146.08,-3.02,143.06,0.11,LT,0.1,,0.006,LT,0.5,19
GAR000000051502,2022-03-28,GMW000000057221,B54F0093,2,-140.44,-145.44,1.44,146.88,0.05,LT,1.12,,0.01,LT,3.03,1508.69
GAR000000055151,2016-02-25,GMW000000057221,B54F0093,2,-140.44,-145.44,1.44,146.88,0.3,,1.42,,0.03,,,47
GAR000000055536,2017-11-22,GMW000000057221,B54F0093,2,-140.44,-145.44,1.44,146.88,0.05,LT,1,,0.01,LT,6.9,1400
GAR000000004684,1990-10-24,GMW000000037655,B21B0170,7,-141.08,-143.08,-0.99,142.09,0.0045,LT,1.01,,0.006,LT,3.6,492
GAR000000005246,1996-11-27,GMW000000037655,B21B0170,7,-141.08,-143.08,-0.99,142.09,0.11,LT,1.63,,0.003,LT,4.3,460
GAR000000005247,2003-01-27,GMW000000037655,B21B0170,7,-141.08,-143.08,-0.99,142.09,0.11,LT,1.55,,0.006,LT,3.7,450
GAR000000004726,1958-09-11,GMW000000037739,B15H0002,3,-141.04,-142.04,-4.17,137.87,,,5.44,,,,,
GAR000000052289,1982-06-25,GMW000000022762,B49E0222,6,-136.43,-138.43,14.33,152.76,,,,,,,,
GAR000000004824,1994-11-14,GMW000000037681,B15H0055,3,-132.21,-133.21,-4.17,129.04,0.01,LT,4.35,,0.01,LT,12,820
GAR000000004825,1996-10-30,GMW000000037681,B15H0055,3,-132.21,-133.21,-4.17,129.04,0.11,LT,2.56,,0.01,,7.6,810
GAR000000004826,2015-10-23,GMW000000037681,B15H0055,3,-132.21,-133.21,-4.17,129.04,0.05,LT,5.3,,0.01,,5,160
GAR000000003925,1962-12-17,GMW000000037689,B26G0050,1,-130.78,-131.78,3.13,134.91,0.0045,LT,0.07,,0.006,LT,,12
GAR000000003926,1997-10-07,GMW000000037689,B26G0050,1,-130.78,-131.78,3.13,134.91,0.11,LT,0.04,,0.006,LT,0.5,13
GAR000000051447,2022-03-24,GMW000000004894,B48E0224,1,-126.3,-131.3,1.21,132.51,0.05,LT,1.42,,0.01,LT,3.96,1913.69
GAR000000063200,2011-07-20,GMW000000004894,B48E0224,1,-126.3,-131.3,1.21,132.51,,,,,,,,2000
GAR000000063318,2016-02-23,GMW000000004894,B48E0224,1,-126.3,-131.3,1.21,132.51,0.22,LT,1.67,,0.03,,,1900
