krw_code,station_name,x_rd,y_rd,lat,lon,year,Ntot_zomergem_mgL,Ptot_zomergem_mgL
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,1995,3.9,0.31
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,1996,4.07,0.288
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,1997,3.81,0.282
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,1998,4.01,0.313
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,1999,3.51,0.321
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2000,3.49,0.422
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2001,3.49,0.422
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2002,3.49,0.422
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2003,3.49,0.422
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2004,3.05,0.429
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2005,3.26,0.59
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2006,2.85,0.195
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2007,3.02,0.258
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2008,2.93,0.238
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2009,2.76,0.272
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2010,2.62,0.237
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2011,2.52,0.22
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2012,2.45,0.159
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2013,2.36,0.122
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2014,2.37,0.123
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2015,2.4,0.127
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2016,2.37,0.13
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2017,2.33,0.12
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2018,2.23,0.113
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2019,2.13,0.105
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2020,2,0.094
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2021,2.13,0.087
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2022,2.1,0.087
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2023,2.27,0.093
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,2024,2.2,0.105
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2005,2.02,0.135
