gar_bro_id,well,tube,date,NO3,NO3_uom,NO2,NO2_uom,NH4,NH4_uom,Ntot,Ntot_uom,PO4,PO4_uom,Ptot,Ptot_uom,Cl,Cl_uom,SO4,SO4_uom,HCO3,HCO3_uom,Ca,Ca_uom,Mg,Mg_uom,Na,Na_uom,K,K_uom,Fe,Fe_uom,Mn,Mn_uom
GAR000000064869,GMW000000017636,1,2024-09-23T12:00:00+02:00,0.34,mg/l,0.01,mg/l,46.6,mg/l,,,0.21,mg/l,3.49,mg/l,176.1,mg/l,1,mg/l,1184.8,mg/l,268.89,mg/l,36.52,mg/l,78.67,mg/l,105.32,mg/l,7880.16,ug/l,1480.37,ug/l
GAR000000066908,GMW000000034259,1,2024-09-23T12:00:00+02:00,0.53,mg/l,0.01,mg/l,0.12,mg/l,,,0.04,mg/l,0.69,mg/l,299.11,mg/l,18.32,mg/l,871.93,mg/l,165.54,mg/l,44.29,mg/l,278.24,mg/l,6.94,mg/l,3699.75,ug/l,1336.26,ug/l
GAR000000065352,GMW000000037674,1,2024-09-23T12:00:00+02:00,0.05,mg/l,0.01,mg/l,3.91,mg/l,,,0.01,mg/l,0.33,mg/l,58.72,mg/l,134.57,mg/l,557.23,mg/l,200.15,mg/l,15.95,mg/l,46.95,mg/l,2.96,mg/l,7924.19,ug/l,604.35,ug/l
GAR000000064319,GMW000000038674,1,2024-09-24T06:28:48+02:00,13.28,mg/l,0.01,mg/l,0.02,mg/l,,,0.01,mg/l,0.07,mg/l,67.77,mg/l,27.7,mg/l,245.89,mg/l,84.87,mg/l,7.99,mg/l,43.19,mg/l,5.1,mg/l,20,ug/l,14,ug/l
GAR000000064321,GMW000000038674,3,2024-09-24T06:28:48+02:00,3,mg/l,,,0.1,mg/l,,,,,0.05,mg/l,35,mg/l,87,mg/l,312,mg/l,99,mg/l,11,mg/l,55,mg/l,5.7,mg/l,2600,ug/l,1000,ug/l
GAR000000064306,GMW000000038622,1,2024-09-24T09:50:24+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000064870,GMW000000017636,2,2024-09-24T12:00:00+02:00,0.63,mg/l,0.01,mg/l,18.08,mg/l,,,0.01,mg/l,1.98,mg/l,60.21,mg/l,1.57,mg/l,649.52,mg/l,153.61,mg/l,15.34,mg/l,34.44,mg/l,2.54,mg/l,24936.15,ug/l,2411.41,ug/l
GAR000000064872,GMW000000017642,1,2024-09-24T12:00:00+02:00,0.65,mg/l,0.01,mg/l,12.41,mg/l,,,0.01,mg/l,0.87,mg/l,105.09,mg/l,2.03,mg/l,668.01,mg/l,166.51,mg/l,18.99,mg/l,58.82,mg/l,6.93,mg/l,16957.22,ug/l,1917.08,ug/l
GAR000000064874,GMW000000017642,4,2024-09-24T12:00:00+02:00,0.11,mg/l,0.01,mg/l,3.5,mg/l,,,0.01,mg/l,0.36,mg/l,145.38,mg/l,1.5,mg/l,560.71,mg/l,163.46,mg/l,21.3,mg/l,68.09,mg/l,6.22,mg/l,7292.59,ug/l,2262.2,ug/l
GAR000000066948,GMW000000034293,1,2024-09-24T12:00:00+02:00,0.74,mg/l,0.01,mg/l,1.75,mg/l,,,0.51,mg/l,0.53,mg/l,34.24,mg/l,1.74,mg/l,338.48,mg/l,72.95,mg/l,17.13,mg/l,18.77,mg/l,13.79,mg/l,226.85,ug/l,56.8,ug/l
GAR000000064288,GMW000000038739,1,2024-09-25T06:57:36+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000064290,GMW000000038787,1,2024-09-25T09:21:36+02:00,0.05,mg/l,0.01,mg/l,1.79,mg/l,,,0.22,mg/l,0.28,mg/l,14.79,mg/l,1.42,mg/l,136.45,mg/l,33.96,mg/l,4.1,mg/l,6.99,mg/l,1.58,mg/l,6995.23,ug/l,274.11,ug/l
GAR000000064362,GMW000000038787,1,2024-09-25T09:21:36+02:00,3,mg/l,,,2.4,mg/l,,,,,0.26,mg/l,14,mg/l,30,mg/l,127,mg/l,36,mg/l,5.3,mg/l,8.9,mg/l,2,mg/l,7500,ug/l,280,ug/l
GAR000000065387,GMW000000011572,1,2024-09-25T12:00:00+02:00,0.36,mg/l,0.01,mg/l,0.74,mg/l,,,0.57,mg/l,0.85,mg/l,49.82,mg/l,129.07,mg/l,243.32,mg/l,119.9,mg/l,3.16,mg/l,41.53,mg/l,1.65,mg/l,1309,ug/l,210.54,ug/l
GAR000000065389,GMW000000011572,3,2024-09-25T12:00:00+02:00,0.05,mg/l,0.01,mg/l,0.38,mg/l,,,0.05,mg/l,0.1,mg/l,6.44,mg/l,3.03,mg/l,152.37,mg/l,30.91,mg/l,5.35,mg/l,11.98,mg/l,4.87,mg/l,165.39,ug/l,103.02,ug/l
