FID,Rapportagejaar,WaterlichaamCode,KRWkwaliteitselementCode,KRWkwaliteitselementOmschrijving,Classificatie,naam,lengteKM,oppervlakteKM2,stroomgebieddistrictNaam,oppervlaktewaterCategorie,oppervlaktewaterWatertypeCode,oppervlaktewaterWatertypeOmschrijving,waterbeheerderCode,waterbeheerderNaam
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33ZM.Ptot,2020,NL33ZM,Ptot,Fosfor totaal,Goed,Zuidlaardermeer,0,6.14,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M100.Nanorg,2020,NL34M100,Nanorg,DIN,Niet van toepassing,Damsterdiep-Nieuwediep,,0.32983,Eems,Meer,M3,Gebufferde (regionale) kanalen,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M100.Ptot,2020,NL34M100,Ptot,Fosfor totaal,Ontoereikend,Damsterdiep-Nieuwediep,,0.32983,Eems,Meer,M3,Gebufferde (regionale) kanalen,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M100.Ntot,2020,NL34M100,Ntot,Stikstof totaal,Goed,Damsterdiep-Nieuwediep,,0.32983,Eems,Meer,M3,Gebufferde (regionale) kanalen,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M110.Ntot,2020,NL34M110,Ntot,Stikstof totaal,Goed,Maren-DG Fivelingo,,0.30115,Eems,Meer,M3,Gebufferde (regionale) kanalen,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M110.Ptot,2020,NL34M110,Ptot,Fosfor totaal,Slecht,Maren-DG Fivelingo,,0.30115,Eems,Meer,M3,Gebufferde (regionale) kanalen,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M110.Nanorg,2020,NL34M110,Nanorg,DIN,Niet van toepassing,Maren-DG Fivelingo,,0.30115,Eems,Meer,M3,Gebufferde (regionale) kanalen,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M113.Nanorg,2020,NL34M113,Nanorg,DIN,Niet van toepassing,NO Kustpolders,,0.20262,Eems,Meer,M30,Zwak brakke wateren,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M113.Ntot,2020,NL34M113,Ntot,Stikstof totaal,Goed,NO Kustpolders,,0.20262,Eems,Meer,M30,Zwak brakke wateren,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL34M113.Ptot,2020,NL34M113,Ptot,Fosfor totaal,Slecht,NO Kustpolders,,0.20262,Eems,Meer,M30,Zwak brakke wateren,34,Waterschap Noorderzijlvest
KRWoppervlaktewaterlichamen_toestand_ecologie.NL81_2.Ptot,2020,NL81_2,Ptot,Fosfor totaal,Niet van toepassing,Eems-Dollard,,174.71188,Eems,Overgangswater,O2a,"Estuarium met matig getijverschil, met getijstroming en of zonder dominant effect van scheepvaart.",80,Rijkswaterstaat
KRWoppervlaktewaterlichamen_toestand_ecologie.NL81_2.Ntot,2020,NL81_2,Ntot,Stikstof totaal,Niet van toepassing,Eems-Dollard,,174.71188,Eems,Overgangswater,O2a,"Estuarium met matig getijverschil, met getijstroming en of zonder dominant effect van scheepvaart.",80,Rijkswaterstaat
KRWoppervlaktewaterlichamen_toestand_ecologie.NL81_2.Nanorg,2020,NL81_2,Nanorg,DIN,Matig,Eems-Dollard,,174.71188,Eems,Overgangswater,O2a,"Estuarium met matig getijverschil, met getijstroming en of zonder dominant effect van scheepvaart.",80,Rijkswaterstaat
KRWoppervlaktewaterlichamen_toestand_ecologie.NL81_3.Nanorg,2020,NL81_3,Nanorg,DIN,Matig,Eems-Dollard (kustwater),,141.11165,Eems,Kustwater,K1,Open polyhalien kustwater,80,Rijkswaterstaat
KRWoppervlaktewaterlichamen_toestand_ecologie.NL81_3.Ptot,2020,NL81_3,Ptot,Fosfor totaal,Niet van toepassing,Eems-Dollard (kustwater),,141.11165,Eems,Kustwater,K1,Open polyhalien kustwater,80,Rijkswaterstaat
KRWoppervlaktewaterlichamen_toestand_ecologie.NL81_3.Ntot,2020,NL81_3,Ntot,Stikstof totaal,Niet van toepassing,Eems-Dollard (kustwater),,141.11165,Eems,Kustwater,K1,Open polyhalien kustwater,80,Rijkswaterstaat
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_50.Ntot,2020,NL25_50,Ntot,Stikstof totaal,Goed,Bavelse Leij,7.13,,Maas,Rivier,R19,Doorstroommoeras,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_50.Ptot,2020,NL25_50,Ptot,Fosfor totaal,Matig,Bavelse Leij,7.13,,Maas,Rivier,R19,Doorstroommoeras,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_50.Nanorg,2020,NL25_50,Nanorg,DIN,Niet van toepassing,Bavelse Leij,7.13,,Maas,Rivier,R19,Doorstroommoeras,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_51.Ptot,2020,NL25_51,Ptot,Fosfor totaal,Matig,Chaamse beken,41.58,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_51.Nanorg,2020,NL25_51,Nanorg,DIN,Niet van toepassing,Chaamse beken,41.58,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,25,Waterschap Brabantse Delta
